step,env_id,cutoff_hz,input_action,output_action
82,3,20.0,1.0,1.0
83,0,2.0,1.0,0.9895991683006287
83,1,5.0,1.0,0.9999972581863403
83,2,10.0,1.0,1.0
83,3,20.0,1.0,1.0
84,0,2.0,1.0,0.9909061789512634
84,1,5.0,1.0,0.9999980926513672
84,2,10.0,1.0,1.0
84,3,20.0,1.0,1.0
85,0,2.0,1.0,0.9920489192008972
85,1,5.0,1.0,0.9999986886978149
85,2,10.0,1.0,1.0
85,3,20.0,1.0,1.0
86,0,2.0,1.0,0.9930480718612671
86,1,5.0,1.0,0.9999991059303284
86,2,10.0,1.0,1.0
86,3,20.0,1.0,1.0
87,0,2.0,1.0,0.99392169713974
87,1,5.0,1.0,0.9999994039535522
87,2,10.0,1.0,1.0
87,3,20.0,1.0,1.0
88,0,2.0,1.0,0.9946855306625366
88,1,5.0,1.0,0.9999995827674866
88,2,10.0,1.0,1.0
88,3,20.0,1.0,1.0
89,0,2.0,1.0,0.9953533411026001
89,1,5.0,1.0,0.9999997019767761
89,2,10.0,1.0,1.0
89,3,20.0,1.0,1.0
90,0,2.0,1.0,0.9959372282028198
90,1,5.0,1.0,0.9999998211860657
90,2,10.0,1.0,1.0
90,3,20.0,1.0,1.0
91,0,2.0,1.0,0.996447741985321
91,1,5.0,1.0,0.9999998807907104
91,2,10.0,1.0,1.0
91,3,20.0,1.0,1.0
92,0,2.0,1.0,0.996894121170044
92,1,5.0,1.0,0.9999999403953552
92,2,10.0,1.0,1.0
92,3,20.0,1.0,1.0
93,0,2.0,1.0,0.9972844123840332
93,1,5.0,1.0,0.9999999403953552
93,2,10.0,1.0,1.0
93,3,20.0,1.0,1.0
94,0,2.0,1.0,0.9976256489753723
94,1,5.0,1.0,0.9999999403953552
94,2,10.0,1.0,1.0
94,3,20.0,1.0,1.0
95,0,2.0,1.0,0.9979240298271179
95,1,5.0,1.0,0.9999999403953552
95,2,10.0,1.0,1.0
95,3,20.0,1.0,1.0
96,0,2.0,1.0,0.9981849193572998
96,1,5.0,1.0,0.9999999403953552
96,2,10.0,1.0,1.0
96,3,20.0,1.0,1.0
97,0,2.0,1.0,0.9984130263328552
97,1,5.0,1.0,0.9999999403953552
97,2,10.0,1.0,1.0
97,3,20.0,1.0,1.0
98,0,2.0,1.0,0.9986124634742737
98,1,5.0,1.0,0.9999999403953552
98,2,10.0,1.0,1.0
98,3,20.0,1.0,1.0
99,0,2.0,1.0,0.9987868070602417
99,1,5.0,1.0,0.9999999403953552
99,2,10.0,1.0,1.0
99,3,20.0,1.0,1.0
100,0,2.0,1.0,0.9989392757415771
100,1,5.0,1.0,0.9999999403953552
100,2,10.0,1.0,1.0
100,3,20.0,1.0,1.0
101,0,2.0,1.0,0.9990725517272949
101,1,5.0,1.0,0.9999999403953552
101,2,10.0,1.0,1.0
101,3,20.0,1.0,1.0
102,0,2.0,1.0,0.9991890788078308
102,1,5.0,1.0,0.9999999403953552
102,2,10.0,1.0,1.0
102,3,20.0,1.0,1.0
103,0,2.0,1.0,0.9992910027503967
103,1,5.0,1.0,0.9999999403953552
103,2,10.0,1.0,1.0
103,3,20.0,1.0,1.0
104,0,2.0,1.0,0.9993801116943359
104,1,5.0,1.0,0.9999999403953552
104,2,10.0,1.0,1.0
104,3,20.0,1.0,1.0
105,0,2.0,1.0,0.9994580149650574
105,1,5.0,1.0,0.9999999403953552
105,2,10.0,1.0,1.0
105,3,20.0,1.0,1.0
106,0,2.0,1.0,0.9995261430740356
106,1,5.0,1.0,0.9999999403953552
106,2,10.0,1.0,1.0
106,3,20.0,1.0,1.0
107,0,2.0,1.0,0.9995856881141663
107,1,5.0,1.0,0.9999999403953552
107,2,10.0,1.0,1.0
107,3,20.0,1.0,1.0
108,0,2.0,1.0,0.9996377229690552
108,1,5.0,1.0,0.9999999403953552
108,2,10.0,1.0,1.0
108,3,20.0,1.0,1.0
109,0,2.0,1.0,0.9996832609176636
109,1,5.0,1.0,0.9999999403953552
109,2,10.0,1.0,1.0
109,3,20.0,1.0,1.0
110,0,2.0,1.0,0.9997230768203735
110,1,5.0,1.0,0.9999999403953552
110,2,10.0,1.0,1.0
110,3,20.0,1.0,1.0
111,0,2.0,1.0,0.9997578859329224
111,1,5.0,1.0,0.9999999403953552
111,2,10.0,1.0,1.0
111,3,20.0,1.0,1.0
112,0,2.0,1.0,0.9997882843017578
112,1,5.0,1.0,0.9999999403953552
112,2,10.0,1.0,1.0
112,3,20.0,1.0,1.0
