step,env_id,time_s,soc,voltage_ratio
37,6,0.37,0.9865729808807373,0.9959719181060791
37,7,0.37,0.834236204624176,0.9502708911895752
38,0,0.38,0.7935370802879333,0.9380611181259155
38,1,0.38,0.5251768827438354,0.8575530648231506
38,2,0.38,0.5739729404449463,0.8721919059753418
38,3,0.38,0.5996983647346497,0.8799095153808594
38,4,0.38,0.9603313207626343,0.9880993962287903
38,5,0.38,0.9357424378395081,0.9807227253913879
38,6,0.38,0.9865105748176575,0.9959532022476196
38,7,0.38,0.834214448928833,0.9502643346786499
39,0,0.39,0.7934563755989075,0.9380369186401367
39,1,0.39,0.5251386165618896,0.857541561126709
39,2,0.39,0.5739495158195496,0.8721848726272583
39,3,0.39,0.5996731519699097,0.8799019455909729
39,4,0.39,0.9602491855621338,0.988074779510498
39,5,0.39,0.9356878399848938,0.9807063341140747
39,6,0.39,0.9864481687545776,0.9959344863891602
39,7,0.39,0.83419269323349,0.9502577781677246
40,0,0.4,0.7933756709098816,0.9380127191543579
40,1,0.4,0.5251003503799438,0.8575301170349121
40,2,0.4,0.5739260911941528,0.8721778392791748
40,3,0.4,0.5996479392051697,0.8798943758010864
40,4,0.4,0.9601670503616333,0.988050103187561
40,5,0.4,0.9356332421302795,0.9806900024414062
40,6,0.4,0.9863857626914978,0.9959157705307007
40,7,0.4,0.834170937538147,0.9502512812614441
41,0,0.41,0.7932949662208557,0.9379885196685791
41,1,0.41,0.525062084197998,0.8575186133384705
41,2,0.41,0.5739026665687561,0.8721708059310913
41,3,0.41,0.5996227264404297,0.8798868060112
41,4,0.41,0.9600849151611328,0.9880254864692688
41,5,0.41,0.9355786442756653,0.9806735515594482
41,6,0.41,0.986323356628418,0.9958969950675964
41,7,0.41,0.834149181842804,0.9502447843551636
42,0,0.42,0.7932142615318298,0.9379642605781555
42,1,0.42,0.5250238180160522,0.8575071096420288
42,2,0.42,0.5738792419433594,0.8721637725830078
42,3,0.42,0.5995975136756897,0.8798792362213135
42,4,0.42,0.9600027799606323,0.9880008697509766
42,5,0.42,0.935524046421051,0.9806572198867798
42,6,0.42,0.9862609505653381,0.995878279209137
42,7,0.42,0.8341274261474609,0.9502382278442383
43,0,0.43,0.793133556842804,0.9379400610923767
43,1,0.43,0.5249855518341064,0.8574956655502319
43,2,0.43,0.5738558173179626,0.8721567392349243
43,3,0.43,0.5995723009109497,0.879871666431427
43,4,0.43,0.9599206447601318,0.9879761934280396
43,5,0.43,0.9354694485664368,0.9806408286094666
43,6,0.43,0.9861985445022583,0.9958595633506775
43,7,0.43,0.8341056704521179,0.950231671333313
44,0,0.44,0.7930528521537781,0.9379158616065979
44,1,0.44,0.5249472856521606,0.8574841618537903
44,2,0.44,0.5738323926925659,0.8721497058868408
44,3,0.44,0.5995470881462097,0.8798640966415405
44,4,0.44,0.9598385095596313,0.9879515171051025
44,5,0.44,0.9354148507118225,0.9806244373321533
44,6,0.44,0.9861361384391785,0.995840847492218
44,7,0.44,0.8340839147567749,0.9502251744270325
45,0,0.45,0.7929721474647522,0.9378916621208191
45,1,0.45,0.5249090194702148,0.8574727177619934
45,2,0.45,0.5738089680671692,0.8721426725387573
45,3,0.45,0.5995218753814697,0.8798565864562988
