step,env_id,time_s,efficiency
65,1,0.65,0.9911565780639648
65,2,0.65,0.990511417388916
65,3,0.65,0.9533399343490601
65,4,0.65,0.9573328495025635
65,5,0.65,0.9347718954086304
65,6,0.65,0.9864083528518677
65,7,0.65,0.967191219329834
66,0,0.66,0.9849444627761841
66,1,0.66,0.9910225868225098
66,2,0.66,0.9903676509857178
66,3,0.66,0.9526329636573792
66,4,0.66,0.9566863775253296
66,5,0.66,0.9337835907936096
66,6,0.66,0.9862024188041687
66,7,0.66,0.9666941165924072
67,0,0.67,0.9847197532653809
67,1,0.67,0.9908885955810547
67,2,0.67,0.9902238845825195
67,3,0.67,0.9519259929656982
67,4,0.67,0.9560399055480957
67,5,0.67,0.9327952861785889
67,6,0.67,0.9859964847564697
67,7,0.67,0.9661970138549805
68,0,0.68,0.9844950437545776
68,1,0.68,0.9907546043395996
68,2,0.68,0.9900801181793213
68,3,0.68,0.9512190222740173
68,4,0.68,0.9553934335708618
68,5,0.68,0.9318069815635681
68,6,0.68,0.9857905507087708
68,7,0.68,0.9656999111175537
69,0,0.69,0.9842703342437744
69,1,0.69,0.9906206130981445
69,2,0.69,0.989936351776123
69,3,0.69,0.9505120515823364
69,4,0.69,0.9547469615936279
69,5,0.69,0.9308186769485474
69,6,0.69,0.9855846166610718
69,7,0.69,0.965202808380127
70,0,0.7,0.9840456247329712
70,1,0.7,0.9904866218566895
70,2,0.7,0.9897925853729248
70,3,0.7,0.9498050808906555
70,4,0.7,0.954100489616394
70,5,0.7,0.9298303723335266
70,6,0.7,0.9853786826133728
70,7,0.7,0.9647057056427002
71,0,0.71,0.983820915222168
71,1,0.71,0.9903526306152344
71,2,0.71,0.9896488189697266
71,3,0.71,0.9490981101989746
71,4,0.71,0.9534540176391602
71,5,0.71,0.9288420677185059
71,6,0.71,0.9851727485656738
71,7,0.71,0.9642086029052734
72,0,0.72,0.9835962057113647
72,1,0.72,0.9902186393737793
72,2,0.72,0.9895050525665283
72,3,0.72,0.9483911395072937
72,4,0.72,0.9528075456619263
72,5,0.72,0.9278537631034851
72,6,0.72,0.9849668145179749
72,7,0.72,0.9637115001678467
73,0,0.73,0.9833714962005615
73,1,0.73,0.9900846481323242
73,2,0.73,0.9893612861633301
73,3,0.73,0.9476841688156128
73,4,0.73,0.9521610736846924
73,5,0.73,0.9268654584884644
73,6,0.73,0.9847608804702759
73,7,0.73,0.9632143974304199
74,0,0.74,0.9831467866897583
74,1,0.74,0.9899506568908691
74,2,0.74,0.9892175197601318
74,3,0.74,0.9469771981239319
74,4,0.74,0.9515146017074585
74,5,0.74,0.9258771538734436
74,6,0.74,0.9845549464225769
74,7,0.74,0.9627172946929932
75,0,0.75,0.9829220771789551
75,1,0.75,0.9898166656494141
75,2,0.75,0.9890737533569336
75,3,0.75,0.946270227432251
75,4,0.75,0.9508681297302246
75,5,0.75,0.9248888492584229
75,6,0.75,0.9843490123748779
75,7,0.75,0.9622201919555664
76,0,0.76,0.9826973676681519
76,1,0.76,0.989682674407959
76,2,0.76,0.9889299869537354
76,3,0.76,0.9455632567405701
76,4,0.76,0.9502216577529907
76,5,0.76,0.9239005446434021
76,6,0.76,0.984143078327179
76,7,0.76,0.9617230892181396
77,0,0.77,0.9824726581573486
77,1,0.77,0.9895486831665039
77,2,0.77,0.9887862205505371
77,3,0.77,0.9448562860488892
77,4,0.77,0.9495751857757568
77,5,0.77,0.9229122400283813
77,6,0.77,0.98393714427948
77,7,0.77,0.9612259864807129
78,0,0.78,0.9822479486465454
78,1,0.78,0.9894146919250488
78,2,0.78,0.9886424541473389
78,3,0.78,0.9441493153572083
78,4,0.78,0.948928713798523
78,5,0.78,0.9219239354133606
78,6,0.78,0.983731210231781
78,7,0.78,0.9607288837432861
79,0,0.79,0.9820232391357422
79,1,0.79,0.9892807006835938
79,2,0.79,0.9884986877441406
79,3,0.79,0.9434423446655273
79,4,0.79,0.9482822418212891
79,5,0.79,0.9209356307983398
79,6,0.79,0.983525276184082
79,7,0.79,0.9602317810058594
80,0,0.8,0.981798529624939
80,1,0.8,0.9891467094421387
80,2,0.8,0.9883549213409424
80,3,0.8,0.9427353739738464
80,4,0.8,0.9476357698440552
80,5,0.8,0.9199473261833191
80,6,0.8,0.9833193421363831
80,7,0.8,0.9597346782684326
81,0,0.81,0.9815738201141357
81,1,0.81,0.9890127182006836
81,2,0.81,0.9882111549377441
81,3,0.81,0.9420284032821655
81,4,0.81,0.9469892978668213
81,5,0.81,0.9189590215682983
81,6,0.81,0.9831134080886841
81,7,0.81,0.9592375755310059
82,0,0.82,0.9813491106033325
82,1,0.82,0.9888787269592285
82,2,0.82,0.9880673885345459
82,3,0.82,0.9413214325904846
82,4,0.82,0.9463428258895874
82,5,0.82,0.9179707169532776
82,6,0.82,0.9829074740409851
82,7,0.82,0.9587404727935791
83,0,0.83,0.9811244010925293
83,1,0.83,0.9887447357177734
83,2,0.83,0.9879236221313477
83,3,0.83,0.9406144618988037
83,4,0.83,0.9456963539123535
83,5,0.83,0.9169824123382568
83,6,0.83,0.9827015399932861
83,7,0.83,0.9582433700561523
84,0,0.84,0.9808996915817261
84,1,0.84,0.9886107444763184
84,2,0.84,0.9877798557281494
84,3,0.84,0.9399074912071228
84,4,0.84,0.9450498819351196
84,5,0.84,0.9159941077232361
84,6,0.84,0.9824956059455872
84,7,0.84,0.9577462673187256
85,0,0.85,0.9806749820709229
85,1,0.85,0.9884767532348633
85,2,0.85,0.9876360893249512
85,3,0.85,0.9392005205154419
85,4,0.85,0.9444034099578857
85,5,0.85,0.9150058031082153
85,6,0.85,0.9822896718978882
85,7,0.85,0.9572491645812988
86,0,0.86,0.9804502725601196
86,1,0.86,0.9883427619934082
86,2,0.86,0.9874923229217529
86,3,0.86,0.938493549823761
86,4,0.86,0.9437569379806519
86,5,0.86,0.9140174984931946
86,6,0.86,0.9820837378501892
86,7,0.86,0.9567520618438721
87,0,0.87,0.9802255630493164
87,1,0.87,0.9882087707519531
87,2,0.87,0.9873485565185547
87,3,0.87,0.9377865791320801
87,4,0.87,0.943110466003418
87,5,0.87,0.9130291938781738
87,6,0.87,0.9818778038024902
87,7,0.87,0.9562549591064453
88,0,0.88,0.9800008535385132
88,1,0.88,0.988074779510498
88,2,0.88,0.9872047901153564
88,3,0.88,0.9370796084403992
88,4,0.88,0.9424639940261841
88,5,0.88,0.9120408892631531
88,6,0.88,0.9816718697547913
88,7,0.88,0.9557578563690186
89,0,0.89,0.97977614402771
89,1,0.89,0.987940788269043
89,2,0.89,0.9870610237121582
89,3,0.89,0.9363726377487183
89,4,0.89,0.9418175220489502
89,5,0.89,0.9110525846481323
89,6,0.89,0.9814659357070923
89,7,0.89,0.9552607536315918
90,0,0.9,0.9795514345169067
90,1,0.9,0.9878067970275879
90,2,0.9,0.98691725730896
90,3,0.9,0.9356656670570374
90,4,0.9,0.9411710500717163
90,5,0.9,0.9100642800331116
90,6,0.9,0.9812600016593933
90,7,0.9,0.954763650894165
91,0,0.91,0.9793267250061035
91,1,0.91,0.9876728057861328
91,2,0.91,0.9867734909057617
91,3,0.91,0.9349586963653564
91,4,0.91,0.9405245780944824
91,5,0.91,0.9090759754180908
91,6,0.91,0.9810540676116943
91,7,0.91,0.9542665481567383
