step,env_id,time_s,wrench_magnitude
34,2,0.34,0.03173385560512543
34,3,0.34,0.20950934290885925
35,0,0.35000000000000003,0.15798825025558472
35,1,0.35000000000000003,0.3224961757659912
35,2,0.35000000000000003,0.022892219945788383
35,3,0.35000000000000003,0.20455797016620636
36,0,0.36,0.20804016292095184
36,1,0.36,0.2790527939796448
36,2,0.36,0.05963336303830147
36,3,0.36,0.23943713307380676
37,0,0.37,0.18470078706741333
37,1,0.37,0.27001047134399414
37,2,0.37,0.07419772446155548
37,3,0.37,0.22554422914981842
38,0,0.38,0.18389318883419037
38,1,0.38,0.24711193144321442
38,2,0.38,0.06439485400915146
38,3,0.38,0.2549479007720947
39,0,0.39,0.1976020336151123
39,1,0.39,0.24607481062412262
39,2,0.39,0.05731286481022835
39,3,0.39,0.2603432238101959
40,0,0.4,0.19978798925876617
40,1,0.4,0.23869410157203674
40,2,0.4,0.08985137939453125
40,3,0.4,0.2741122245788574
41,0,0.41000000000000003,0.18931259214878082
41,1,0.41000000000000003,0.23446401953697205
41,2,0.41000000000000003,0.1008744165301323
41,3,0.41000000000000003,0.30295515060424805
42,0,0.42,0.17462046444416046
42,1,0.42,0.24368572235107422
42,2,0.42,0.12720006704330444
42,3,0.42,0.30102264881134033
43,0,0.43,0.1609988659620285
43,1,0.43,0.2218865007162094
43,2,0.43,0.13292628526687622
43,3,0.43,0.2836582064628601
44,0,0.44,0.13709530234336853
44,1,0.44,0.25005239248275757
44,2,0.44,0.12340765446424484
44,3,0.44,0.2588755786418915
45,0,0.45,0.1302846521139145
45,1,0.45,0.28512248396873474
45,2,0.45,0.1160491406917572
45,3,0.45,0.2844561040401459
