step,env_id,time_s,warmup_factor
25,2,0.25,1.104305624961853
25,3,0.25,1.0741865634918213
25,4,0.25,1.0982602834701538
25,5,0.25,1.1308212280273438
25,6,0.25,1.0110492706298828
25,7,0.25,1.0798009634017944
26,0,0.26,1.1628830432891846
26,1,0.26,1.0042747259140015
26,2,0.26,1.1022402048110962
26,3,0.26,1.072717547416687
26,4,0.26,1.096314549446106
26,5,0.26,1.1282308101654053
26,6,0.26,1.0108305215835571
26,7,0.26,1.0782208442687988
27,0,0.27,1.1596577167510986
27,1,0.27,1.0041900873184204
27,2,0.27,1.1002156734466553
27,3,0.27,1.0712776184082031
27,4,0.27,1.0944074392318726
27,5,0.27,1.1256916522979736
27,6,0.27,1.0106160640716553
27,7,0.27,1.0766719579696655
28,0,0.28,1.156496286392212
28,1,0.28,1.004107117652893
28,2,0.28,1.098231315612793
28,3,0.28,1.0698661804199219
28,4,0.28,1.0925379991531372
28,5,0.28,1.1232028007507324
28,6,0.28,1.0104058980941772
28,7,0.28,1.0751537084579468
29,0,0.29,1.1533974409103394
29,1,0.29,1.0040258169174194
29,2,0.29,1.0962861776351929
29,3,0.29,1.068482756614685
29,4,0.29,1.0907056331634521
29,5,0.29,1.1207631826400757
29,6,0.29,1.0101999044418335
29,7,0.29,1.0736656188964844
30,0,0.3,1.1503599882125854
30,1,0.3,1.00394606590271
30,2,0.3,1.0943795442581177
30,3,0.3,1.067126750946045
30,4,0.3,1.0889095067977905
30,5,0.3,1.1183719635009766
30,6,0.3,1.0099979639053345
30,7,0.3,1.072206974029541
31,0,0.31,1.1473826169967651
31,1,0.31,1.0038679838180542
31,2,0.31,1.09251070022583
31,3,0.31,1.0657975673675537
31,4,0.31,1.0871490240097046
31,5,0.31,1.116028070449829
31,6,0.31,1.0097999572753906
31,7,0.31,1.070777177810669
32,0,0.32,1.1444642543792725
32,1,0.32,1.0037914514541626
32,2,0.32,1.0906788110733032
32,3,0.32,1.0644947290420532
32,4,0.32,1.0854233503341675
32,5,0.32,1.113730549812317
32,6,0.32,1.009605884552002
32,7,0.32,1.06937575340271
33,0,0.33,1.141603708267212
