step,env_id,time_s,theta_x_rad,theta_dot_x_rads
115,3,1.15,-0.03637559711933136,0.14495128393173218
116,0,1.16,0.0030048417393118143,-0.007456657476723194
116,1,1.16,0.03890075907111168,-0.1742061972618103
116,2,1.16,-0.010605602525174618,0.2028011679649353
116,3,1.16,-0.034883033484220505,0.14925624430179596
117,0,1.17,0.00292712333612144,-0.007771831937134266
117,1,1.17,0.03711220994591713,-0.17885497212409973
117,2,1.17,-0.008561928756535053,0.20436736941337585
117,3,1.17,-0.033349186182022095,0.15338464081287384
118,0,1.18,0.0028463348280638456,-0.008078854531049728
118,1,1.18,0.03527930751442909,-0.18329010903835297
118,2,1.18,-0.006505611352622509,0.2056317776441574
118,3,1.18,-0.03177586942911148,0.15733157098293304
119,0,1.19,0.0027625607326626778,-0.00837740395218134
119,1,1.19,0.03340424597263336,-0.187506303191185
119,2,1.19,-0.0044396864250302315,0.20659251511096954
119,3,1.19,-0.030164945870637894,0.1610923558473587
120,0,1.2,0.0026758890599012375,-0.008667166344821453
120,1,1.2,0.031489260494709015,-0.19149848818778992
120,2,1.2,-0.0023672047536820173,0.20724816620349884
120,3,1.2,-0.028518320992588997,0.16466253995895386
121,0,1.21,0.00258641061373055,-0.00894783716648817
121,1,1.21,0.029536642134189606,-0.1952618956565857
121,2,1.21,-0.000291227363049984,0.2075977474451065
121,3,1.21,-0.026837941259145737,0.16803789138793945
122,0,1.22,0.002494219457730651,-0.009219123050570488
122,1,1.22,0.02754872292280197,-0.1987920105457306
122,2,1.22,0.001785180065780878,0.20764075219631195
122,3,1.22,-0.02512579783797264,0.17121441662311554
123,0,1.23,0.0023994119837880135,-0.009480739012360573
123,1,1.23,0.02552787773311138,-0.20208460092544556
123,2,1.23,0.0038589511532336473,0.2073771208524704
123,3,1.23,-0.023383915424346924,0.17418833076953888
124,0,1.24,0.0023020878434181213,-0.009732411243021488
124,1,1.24,0.02347652055323124,-0.20513570308685303
124,2,1.24,0.0059270234778523445,0.2068072259426117
124,3,1.24,-0.021614354103803635,0.17695611715316772
125,0,1.25,0.002202349016442895,-0.009973875246942043
125,1,1.25,0.021397104486823082,-0.2079416811466217
125,2,1.25,0.007986342534422874,0.20593193173408508
125,3,1.25,-0.019819209352135658,0.17951448261737823
126,0,1.26,0.0021003002766519785,-0.010204877704381943
126,1,1.26,0.019292112439870834,-0.21049916744232178
126,2,1.26,0.010033868253231049,0.20475251972675323
126,3,1.26,-0.018000604584813118,0.18186040222644806
127,0,1.27,0.001996048493310809,-0.010425176471471786
127,1,1.27,0.017164062708616257,-0.21280507743358612
127,2,1.27,0.012066575698554516,0.20327074825763702
