step,env_id,time_s,value
13,3,0.13,-0.0012181330239400268
14,0,0.14,0.0008972164941951632
14,1,0.14,0.004311525262892246
14,2,0.14,-0.000852069235406816
14,3,0.14,-0.0006100285681895912
15,0,0.15,0.0020638767164200544
15,1,0.15,0.0015515484847128391
15,2,0.15,-0.0039241560734808445
15,3,0.15,-0.001272049848921597
16,0,0.16,0.0019864756613969803
16,1,0.16,0.0016519965138286352
16,2,0.16,-0.0045967563055455685
16,3,0.16,0.0008639468578621745
17,0,0.17,0.0008357580518350005
17,1,0.17,-0.00031023845076560974
17,2,0.17,0.0027707237750291824
17,3,0.17,0.010043689049780369
18,0,0.18,-0.0002446178114041686
18,1,0.18,-0.0020581965800374746
18,2,0.18,-0.0026300488971173763
18,3,0.18,0.011743739247322083
19,0,0.19,-0.0008898116066120565
19,1,0.19,-0.0021292835008352995
19,2,0.19,-0.0012805127771571279
19,3,0.19,0.009449763223528862
20,0,0.2,-0.0040474641136825085
20,1,0.2,-0.004095182288438082
20,2,0.2,-0.006843795068562031
20,3,0.2,0.005994751118123531
21,0,0.21,-0.003450709627941251
21,1,0.21,-0.004161604680120945
21,2,0.21,-0.003605156671255827
21,3,0.21,0.005708138458430767
22,0,0.22,-0.003627669531852007
22,1,0.22,-0.004451155662536621
22,2,0.22,-0.0016922822687774897
22,3,0.22,0.005083007272332907
23,0,0.23,-0.002425643615424633
23,1,0.23,-0.005228140857070684
23,2,0.23,0.004582817666232586
23,3,0.23,0.0009624171070754528
24,0,0.24,-0.0016721028368920088
24,1,0.24,-0.003179188584908843
24,2,0.24,0.003910442348569632
24,3,0.24,-0.00685787433758378
25,0,0.25,-0.0028933878056705
25,1,0.25,-0.0025690109468996525
25,2,0.25,0.0004277846310287714
25,3,0.25,-0.00538041302934289
26,0,0.26,-0.007547698449343443
26,1,0.26,-0.0062406533397734165
26,2,0.26,0.0024926303885877132
26,3,0.26,-0.008769079111516476
27,0,0.27,-0.006056636106222868
27,1,0.27,-0.00362223107367754
27,2,0.27,-0.0015652128495275974
27,3,0.27,-0.004338155034929514
28,0,0.28,-0.004925048444420099
28,1,0.28,-0.002514458727091551
28,2,0.28,-0.0024047205224633217
28,3,0.28,0.0021081361919641495
29,0,0.29,-0.00533699057996273
29,1,0.29,-0.00016084802336990833
29,2,0.29,-0.004446122329682112
29,3,0.29,0.0019491864368319511
30,0,0.3,-0.004837993998080492
30,1,0.3,-0.00015280066872946918
30,2,0.3,0.004264006856828928
30,3,0.3,0.005598146468400955
31,0,0.31,-0.004660269245505333
31,1,0.31,0.0013316815020516515
31,2,0.31,0.0076498910784721375
31,3,0.31,0.001839017728343606
32,0,0.32,-0.0005729319527745247
32,1,0.32,-0.0014948447933420539
32,2,0.32,0.013701995834708214
32,3,0.32,-0.003407115349546075
33,0,0.33,-0.0016796004492789507
33,1,0.33,-0.004130273591727018
33,2,0.33,0.009667932987213135
33,3,0.33,-0.007158393040299416
34,0,0.34,-0.001383033231832087
34,1,0.34,-0.00967663899064064
34,2,0.34,0.008434871211647987
34,3,0.34,-0.013563448563218117
35,0,0.35,-0.00317413080483675
35,1,0.35,-0.01103341206908226
35,2,0.35,0.003634483553469181
35,3,0.35,-0.009633434936404228
36,0,0.36,-0.002513737650588155
36,1,0.36,-0.012414732947945595
36,2,0.36,0.0020200293511152267
36,3,0.36,-0.007954372093081474
37,0,0.37,-0.0011964516015723348
37,1,0.37,-0.011346666142344475
37,2,0.37,-0.002032631542533636
37,3,0.37,-0.0032668313942849636
38,0,0.38,-0.000340120168402791
38,1,0.38,-0.011824158951640129
38,2,0.38,-0.007357372902333736
38,3,0.38,0.00015026354230940342
39,0,0.39,-0.0010383917251601815
39,1,0.39,-0.01128004863858223
39,2,0.39,-0.0036428356543183327
39,3,0.39,-0.0027939805295318365
40,0,0.4,0.0010738944401964545
40,1,0.4,-0.013191208243370056
40,2,0.4,-0.008844014257192612
40,3,0.4,-0.0039144475013017654
41,0,0.41,0.0006199296331033111
41,1,0.41,-0.01436231192201376
41,2,0.41,-0.006424086168408394
41,3,0.41,0.0030705095268785954
42,0,0.42,0.0034076180309057236
42,1,0.42,-0.013727148063480854
42,2,0.42,-0.0030910358764231205
42,3,0.42,0.008090421557426453
43,0,0.43,0.003274135524407029
43,1,0.43,-0.014218676835298538
43,2,0.43,-0.011518435552716255
43,3,0.43,0.0014989613555371761
44,0,0.44,0.0024172263219952583
