step,env_id,time_s,cumulative_drop_rate
58,5,0.58,0.135593
58,6,0.58,0.101695
58,7,0.58,0.101695
59,0,0.59,0.1
59,1,0.59,0.166667
59,2,0.59,0.216667
59,3,0.59,0.133333
59,4,0.59,0.15
59,5,0.59,0.133333
59,6,0.59,0.1
59,7,0.59,0.1
60,0,0.6,0.114754
60,1,0.6,0.163934
60,2,0.6,0.229508
60,3,0.6,0.131148
60,4,0.6,0.147541
60,5,0.6,0.131148
60,6,0.6,0.114754
60,7,0.6,0.098361
61,0,0.61,0.112903
61,1,0.61,0.16129
61,2,0.61,0.225806
61,3,0.61,0.129032
61,4,0.61,0.145161
61,5,0.61,0.129032
61,6,0.61,0.112903
61,7,0.61,0.096774
62,0,0.62,0.111111
62,1,0.62,0.15873
62,2,0.62,0.222222
62,3,0.62,0.126984
62,4,0.62,0.15873
62,5,0.62,0.126984
62,6,0.62,0.111111
62,7,0.62,0.095238
63,0,0.63,0.109375
63,1,0.63,0.15625
63,2,0.63,0.21875
63,3,0.63,0.125
63,4,0.63,0.15625
63,5,0.63,0.125
63,6,0.63,0.109375
63,7,0.63,0.09375
64,0,0.64,0.107692
64,1,0.64,0.153846
64,2,0.64,0.215385
64,3,0.64,0.123077
64,4,0.64,0.153846
64,5,0.64,0.123077
64,6,0.64,0.107692
64,7,0.64,0.092308
65,0,0.65,0.106061
65,1,0.65,0.151515
65,2,0.65,0.212121
65,3,0.65,0.121212
65,4,0.65,0.151515
65,5,0.65,0.121212
65,6,0.65,0.106061
65,7,0.65,0.090909
66,0,0.66,0.104478
66,1,0.66,0.149254
66,2,0.66,0.208955
66,3,0.66,0.119403
66,4,0.66,0.149254
66,5,0.66,0.119403
66,6,0.66,0.119403
66,7,0.66,0.104478
67,0,0.67,0.102941
67,1,0.67,0.147059
67,2,0.67,0.205882
67,3,0.67,0.117647
67,4,0.67,0.147059
67,5,0.67,0.117647
67,6,0.67,0.117647
67,7,0.67,0.102941
68,0,0.68,0.101449
68,1,0.68,0.144928
68,2,0.68,0.217391
68,3,0.68,0.115942
68,4,0.68,0.144928
68,5,0.68,0.115942
68,6,0.68,0.130435
68,7,0.68,0.115942
69,0,0.69,0.1
69,1,0.69,0.142857
69,2,0.69,0.228571
69,3,0.69,0.114286
69,4,0.69,0.142857
69,5,0.69,0.114286
69,6,0.69,0.128571
69,7,0.69,0.114286
70,0,0.7,0.098592
70,1,0.7,0.140845
70,2,0.7,0.225352
70,3,0.7,0.112676
70,4,0.7,0.15493
70,5,0.7,0.126761
70,6,0.7,0.126761
70,7,0.7,0.112676
71,0,0.71,0.097222
71,1,0.71,0.138889
71,2,0.71,0.222222
71,3,0.71,0.125
71,4,0.71,0.152778
71,5,0.71,0.125
71,6,0.71,0.125
71,7,0.71,0.111111
72,0,0.72,0.09589
72,1,0.72,0.136986
72,2,0.72,0.219178
72,3,0.72,0.136986
72,4,0.72,0.164384
72,5,0.72,0.123288
72,6,0.72,0.123288
72,7,0.72,0.109589
73,0,0.73,0.094595
73,1,0.73,0.135135
73,2,0.73,0.22973
73,3,0.73,0.135135
73,4,0.73,0.162162
73,5,0.73,0.121622
73,6,0.73,0.135135
73,7,0.73,0.108108
74,0,0.74,0.093333
74,1,0.74,0.133333
74,2,0.74,0.226667
74,3,0.74,0.133333
74,4,0.74,0.173333
74,5,0.74,0.12
74,6,0.74,0.133333
74,7,0.74,0.106667
75,0,0.75,0.092105
75,1,0.75,0.131579
75,2,0.75,0.223684
75,3,0.75,0.131579
75,4,0.75,0.171053
75,5,0.75,0.118421
75,6,0.75,0.131579
75,7,0.75,0.105263
76,0,0.76,0.090909
76,1,0.76,0.12987
76,2,0.76,0.220779
76,3,0.76,0.12987
76,4,0.76,0.168831
76,5,0.76,0.116883
76,6,0.76,0.12987
76,7,0.76,0.103896
77,0,0.77,0.089744
77,1,0.77,0.128205
77,2,0.77,0.217949
77,3,0.77,0.128205
77,4,0.77,0.179487
77,5,0.77,0.115385
77,6,0.77,0.128205
77,7,0.77,0.115385
78,0,0.78,0.088608
78,1,0.78,0.126582
78,2,0.78,0.21519
78,3,0.78,0.126582
78,4,0.78,0.177215
78,5,0.78,0.113924
78,6,0.78,0.126582
78,7,0.78,0.113924
79,0,0.79,0.0875
79,1,0.79,0.125
79,2,0.79,0.2125
79,3,0.79,0.125
79,4,0.79,0.175
79,5,0.79,0.1125
79,6,0.79,0.1375
79,7,0.79,0.1125
80,0,0.8,0.08642
80,1,0.8,0.123457
80,2,0.8,0.209877
80,3,0.8,0.123457
80,4,0.8,0.17284
80,5,0.8,0.111111
80,6,0.8,0.148148
80,7,0.8,0.111111
81,0,0.81,0.085366
81,1,0.81,0.121951
81,2,0.81,0.207317
81,3,0.81,0.134146
81,4,0.81,0.170732
81,5,0.81,0.109756
81,6,0.81,0.146341
81,7,0.81,0.109756
82,0,0.82,0.084337
82,1,0.82,0.120482
82,2,0.82,0.216867
82,3,0.82,0.13253
82,4,0.82,0.168675
82,5,0.82,0.108434
82,6,0.82,0.144578
82,7,0.82,0.108434
83,0,0.83,0.095238
83,1,0.83,0.119048
83,2,0.83,0.22619
83,3,0.83,0.130952
83,4,0.83,0.166667
83,5,0.83,0.107143
83,6,0.83,0.142857
83,7,0.83,0.107143
84,0,0.84,0.094118
84,1,0.84,0.117647
84,2,0.84,0.223529
84,3,0.84,0.129412
84,4,0.84,0.164706
84,5,0.84,0.117647
84,6,0.84,0.141176
84,7,0.84,0.105882
85,0,0.85,0.093023
85,1,0.85,0.116279
85,2,0.85,0.232558
85,3,0.85,0.139535
85,4,0.85,0.162791
85,5,0.85,0.127907
85,6,0.85,0.139535
85,7,0.85,0.104651
86,0,0.86,0.091954
86,1,0.86,0.114943
86,2,0.86,0.229885
86,3,0.86,0.149425
86,4,0.86,0.16092
86,5,0.86,0.126437
86,6,0.86,0.137931
86,7,0.86,0.103448
87,0,0.87,0.090909
87,1,0.87,0.113636
87,2,0.87,0.227273
87,3,0.87,0.147727
87,4,0.87,0.159091
87,5,0.87,0.125
87,6,0.87,0.136364
87,7,0.87,0.102273
88,0,0.88,0.089888
88,1,0.88,0.11236
88,2,0.88,0.224719
88,3,0.88,0.146067
88,4,0.88,0.157303
88,5,0.88,0.134831
88,6,0.88,0.134831
88,7,0.88,0.101124
89,0,0.89,0.088889
89,1,0.89,0.122222
89,2,0.89,0.222222
89,3,0.89,0.144444
89,4,0.89,0.155556
89,5,0.89,0.133333
89,6,0.89,0.133333
89,7,0.89,0.1
90,0,0.9,0.098901
90,1,0.9,0.120879
90,2,0.9,0.21978
90,3,0.9,0.142857
90,4,0.9,0.153846
90,5,0.9,0.131868
90,6,0.9,0.131868
90,7,0.9,0.098901
91,0,0.91,0.097826
91,1,0.91,0.119565
91,2,0.91,0.217391
91,3,0.91,0.141304
91,4,0.91,0.152174
91,5,0.91,0.130435
91,6,0.91,0.141304
91,7,0.91,0.097826
92,0,0.92,0.096774
92,1,0.92,0.11828
92,2,0.92,0.215054
92,3,0.92,0.139785
92,4,0.92,0.150538
92,5,0.92,0.129032
92,6,0.92,0.139785
92,7,0.92,0.107527
93,0,0.93,0.095745
93,1,0.93,0.12766
93,2,0.93,0.212766
93,3,0.93,0.138298
93,4,0.93,0.148936
93,5,0.93,0.12766
93,6,0.93,0.138298
93,7,0.93,0.106383
94,0,0.94,0.094737
94,1,0.94,0.126316
94,2,0.94,0.210526
94,3,0.94,0.136842
94,4,0.94,0.147368
94,5,0.94,0.126316
94,6,0.94,0.136842
94,7,0.94,0.105263
95,0,0.95,0.09375
95,1,0.95,0.125
95,2,0.95,0.21875
95,3,0.95,0.135417
95,4,0.95,0.145833
