step,env_id,time_s,rpm_motor0
182,1,1.82,14876.1591796875
182,2,1.82,15342.9208984375
182,3,1.82,15018.8740234375
183,0,1.83,14984.8134765625
183,1,1.83,15123.8408203125
183,2,1.83,14657.0712890625
183,3,1.83,14981.123046875
184,0,1.84,15015.1826171875
184,1,1.84,14876.158203125
184,2,1.84,15342.9365234375
184,3,1.84,15018.87890625
185,0,1.85,14984.8203125
185,1,1.85,15123.8408203125
185,2,1.85,14657.0576171875
185,3,1.85,14981.1181640625
186,0,1.86,15015.17578125
186,1,1.86,14876.158203125
186,2,1.86,15342.951171875
186,3,1.86,15018.884765625
187,0,1.87,14984.8271484375
187,1,1.87,15123.8427734375
187,2,1.87,14657.04296875
187,3,1.87,14981.1123046875
188,0,1.88,15015.1689453125
188,1,1.88,14876.158203125
188,2,1.88,15342.96484375
188,3,1.88,15018.8896484375
189,0,1.89,14984.833984375
189,1,1.89,15123.8427734375
189,2,1.89,14657.0283203125
189,3,1.89,14981.107421875
190,0,1.9,15015.162109375
190,1,1.9,14876.1572265625
190,2,1.9,15342.9794921875
190,3,1.9,15018.8955078125
191,0,1.91,14984.8408203125
191,1,1.91,15123.8427734375
191,2,1.91,14657.013671875
191,3,1.91,14981.1015625
192,0,1.92,15015.15625
192,1,1.92,14876.1572265625
192,2,1.92,15342.994140625
192,3,1.92,15018.900390625
193,0,1.93,14984.8486328125
193,1,1.93,15123.8427734375
193,2,1.93,14656.9990234375
193,3,1.93,14981.095703125
194,0,1.94,15015.1494140625
194,1,1.94,14876.1572265625
194,2,1.94,15343.0078125
194,3,1.94,15018.90625
195,0,1.95,14984.8544921875
195,1,1.95,15123.8427734375
195,2,1.95,14656.984375
195,3,1.95,14981.0908203125
196,0,1.96,15015.1416015625
196,1,1.96,14876.15625
196,2,1.96,15343.0224609375
196,3,1.96,15018.9130859375
197,0,1.97,14984.861328125
197,1,1.97,15123.8427734375
197,2,1.97,14656.970703125
197,3,1.97,14981.0849609375
198,0,1.98,15015.134765625
198,1,1.98,14876.15625
198,2,1.98,15343.037109375
198,3,1.98,15018.9189453125
199,0,1.99,14984.869140625
199,1,1.99,15123.8447265625
199,2,1.99,14656.9560546875
199,3,1.99,14981.080078125
