step,env_id,threshold,input_action,output_action
16,1,0.019999999552965164,-0.18395990133285522,-0.18395990133285522
16,2,0.03500000014901161,-0.18395990133285522,-0.18395990133285522
16,3,0.05000000074505806,-0.18395990133285522,-0.18395990133285522
17,0,0.009999999776482582,-0.18295739591121674,-0.18295739591121674
17,1,0.019999999552965164,-0.18295739591121674,-0.18295739591121674
17,2,0.03500000014901161,-0.18295739591121674,-0.18295739591121674
17,3,0.05000000074505806,-0.18295739591121674,-0.18295739591121674
18,0,0.009999999776482582,-0.18195489048957825,-0.18195489048957825
18,1,0.019999999552965164,-0.18195489048957825,-0.18195489048957825
18,2,0.03500000014901161,-0.18195489048957825,-0.18195489048957825
18,3,0.05000000074505806,-0.18195489048957825,-0.18195489048957825
19,0,0.009999999776482582,-0.18095238506793976,-0.18095238506793976
19,1,0.019999999552965164,-0.18095238506793976,-0.18095238506793976
19,2,0.03500000014901161,-0.18095238506793976,-0.18095238506793976
19,3,0.05000000074505806,-0.18095238506793976,-0.18095238506793976
20,0,0.009999999776482582,-0.17994987964630127,-0.17994987964630127
20,1,0.019999999552965164,-0.17994987964630127,-0.17994987964630127
20,2,0.03500000014901161,-0.17994987964630127,-0.17994987964630127
20,3,0.05000000074505806,-0.17994987964630127,-0.17994987964630127
21,0,0.009999999776482582,-0.17894737422466278,-0.17894737422466278
21,1,0.019999999552965164,-0.17894737422466278,-0.17894737422466278
21,2,0.03500000014901161,-0.17894737422466278,-0.17894737422466278
21,3,0.05000000074505806,-0.17894737422466278,-0.17894737422466278
22,0,0.009999999776482582,-0.1779448688030243,-0.1779448688030243
22,1,0.019999999552965164,-0.1779448688030243,-0.1779448688030243
22,2,0.03500000014901161,-0.1779448688030243,-0.1779448688030243
22,3,0.05000000074505806,-0.1779448688030243,-0.1779448688030243
23,0,0.009999999776482582,-0.1769423633813858,-0.1769423633813858
23,1,0.019999999552965164,-0.1769423633813858,-0.1769423633813858
23,2,0.03500000014901161,-0.1769423633813858,-0.1769423633813858
23,3,0.05000000074505806,-0.1769423633813858,-0.1769423633813858
