step,env_id,time_s,force_magnitude_N,active
13,3,0.13,5.310193061828613,1
13,4,0.13,3.5427792072296143,1
13,5,0.13,6.4513092041015625,1
13,6,0.13,0.0,0
13,7,0.13,4.827784061431885,1
14,0,0.14,7.110121726989746,1
14,1,0.14,2.5211453437805176,1
14,2,0.14,7.996190547943115,1
14,3,0.14,5.310193061828613,1
14,4,0.14,3.5427792072296143,1
14,5,0.14,6.4513092041015625,1
14,6,0.14,3.33467173576355,1
14,7,0.14,0.0,0
15,0,0.15,7.110121726989746,1
15,1,0.15,2.5211453437805176,1
15,2,0.15,0.0,0
15,3,0.15,5.310193061828613,1
15,4,0.15,3.5427792072296143,1
15,5,0.15,6.4513092041015625,1
15,6,0.15,3.33467173576355,1
15,7,0.15,0.0,0
16,0,0.16,7.110121726989746,1
16,1,0.16,2.5211453437805176,1
16,2,0.16,0.0,0
16,3,0.16,5.310193061828613,1
16,4,0.16,3.5427792072296143,1
16,5,0.16,6.4513092041015625,1
16,6,0.16,3.33467173576355,1
16,7,0.16,0.0,0
17,0,0.17,7.110121726989746,1
17,1,0.17,2.5211453437805176,1
17,2,0.17,0.0,0
17,3,0.17,0.0,0
17,4,0.17,3.5427792072296143,1
17,5,0.17,6.4513092041015625,1
17,6,0.17,3.33467173576355,1
17,7,0.17,0.0,0
18,0,0.18,7.110121726989746,1
18,1,0.18,0.0,0
18,2,0.18,0.0,0
18,3,0.18,0.0,0
18,4,0.18,3.5427792072296143,1
18,5,0.18,0.0,0
18,6,0.18,3.33467173576355,1
18,7,0.18,0.0,0
19,0,0.19,7.110121726989746,1
19,1,0.19,0.0,0
19,2,0.19,0.0,0
19,3,0.19,0.0,0
19,4,0.19,3.5427792072296143,1
19,5,0.19,0.0,0
19,6,0.19,3.33467173576355,1
19,7,0.19,0.0,0
20,0,0.2,7.110121726989746,1
20,1,0.2,0.0,0
20,2,0.2,0.0,0
20,3,0.2,0.0,0
20,4,0.2,3.5427792072296143,1
20,5,0.2,0.0,0
20,6,0.2,3.33467173576355,1
20,7,0.2,0.0,0
21,0,0.21,7.110121726989746,1
21,1,0.21,0.0,0
21,2,0.21,0.0,0
21,3,0.21,0.0,0
21,4,0.21,3.5427792072296143,1
21,5,0.21,0.0,0
21,6,0.21,3.33467173576355,1
21,7,0.21,0.0,0
22,0,0.22,0.0,0
22,1,0.22,0.0,0
22,2,0.22,0.0,0
22,3,0.22,0.0,0
22,4,0.22,3.5427792072296143,1
22,5,0.22,0.0,0
22,6,0.22,3.33467173576355,1
22,7,0.22,0.0,0
23,0,0.23,0.0,0
23,1,0.23,0.0,0
23,2,0.23,0.0,0
23,3,0.23,0.0,0
23,4,0.23,3.5427792072296143,1
23,5,0.23,0.0,0
23,6,0.23,3.33467173576355,1
23,7,0.23,0.0,0
24,0,0.24,0.0,0
24,1,0.24,0.0,0
24,2,0.24,0.0,0
24,3,0.24,0.0,0
24,4,0.24,3.5427792072296143,1
24,5,0.24,0.0,0
24,6,0.24,3.33467173576355,1
24,7,0.24,0.0,0
25,0,0.25,0.0,0
