step,env_id,time_s,phase_offset_s
57,3,0.57,3.8976454561634455e-06
58,0,0.58,-1.6156690207935753e-06
58,1,0.58,3.7357096971391e-06
58,2,0.58,1.1912422905879794e-06
58,3,0.58,3.4154120385210263e-06
59,0,0.59,-1.6611298860880197e-06
59,1,0.59,3.450618351052981e-06
59,2,0.59,9.395816960022785e-07
59,3,0.59,3.3878766316775e-06
60,0,0.6,-1.3349138043849962e-06
60,1,0.6,2.952693193947198e-06
60,2,0.6,5.300764769344823e-07
60,3,0.6,3.7705085560446605e-06
61,0,0.61,-1.286073484152439e-06
61,1,0.61,3.2876780551305274e-06
61,2,0.61,1.010425421554828e-06
61,3,0.61,3.4111958484572824e-06
62,0,0.62,-1.4011289977133856e-06
62,1,0.62,3.6980673030484468e-06
62,2,0.62,6.057923656044295e-07
62,3,0.62,3.322669499539188e-06
63,0,0.63,-1.8194411950389622e-06
63,1,0.63,3.480524810584029e-06
63,2,0.63,4.7394775037901127e-07
63,3,0.63,3.415085075175739e-06
64,0,0.64,-1.707581077425857e-06
64,1,0.64,3.040344836335862e-06
64,2,0.64,9.266763072446338e-07
64,3,0.64,3.3689584597595967e-06
65,0,0.65,-2.176024054278969e-06
65,1,0.65,3.2980312880681595e-06
65,2,0.65,6.225600372999907e-07
65,3,0.65,3.0763426366320346e-06
66,0,0.66,-1.9024491848540492e-06
66,1,0.66,3.1457300337933702e-06
66,2,0.66,3.142507978282083e-07
66,3,0.66,2.785438482533209e-06
67,0,0.67,-2.1685161755158333e-06
67,1,0.67,2.67274526777328e-06
67,2,0.67,-8.461117317892786e-08
67,3,0.67,2.7653684355755104e-06
68,0,0.68,-2.604824430818553e-06
68,1,0.68,2.9729771995334886e-06
68,2,0.68,-4.1618758928052557e-07
68,3,0.68,2.6292450456821825e-06
69,0,0.69,-2.412965159237501e-06
69,1,0.69,3.0669973511976423e-06
69,2,0.69,-7.02941179042682e-07
69,3,0.69,2.9715915843553375e-06
70,0,0.7,-2.7183139081898844e-06
70,1,0.7,3.527316494000843e-06
70,2,0.7,-3.014640412857261e-07
70,3,0.7,2.6279667508788407e-06
71,0,0.71,-2.6277552933606785e-06
71,1,0.71,3.82377220375929e-06
71,2,0.71,-2.789042810036335e-07
71,3,0.71,2.185910489060916e-06
72,0,0.72,-2.6199952571914764e-06
72,1,0.72,3.8638686419290025e-06
72,2,0.72,-5.727387133447337e-07
72,3,0.72,2.5173249014187604e-06
73,0,0.73,-2.1420264602056704e-06
73,1,0.73,4.131714376853779e-06
73,2,0.73,-3.797640033553762e-07
73,3,0.73,2.377008968323935e-06
74,0,0.74,-2.1274656774039613e-06
74,1,0.74,4.4200228330737446e-06
74,2,0.74,-7.121473117877031e-07
74,3,0.74,2.5994104362325743e-06
75,0,0.75,-1.8464171489540604e-06
75,1,0.75,4.686319243774051e-06
75,2,0.75,-1.1917900337721221e-06
75,3,0.75,2.645627546371543e-06
76,0,0.76,-1.7720909681884223e-06
76,1,0.76,4.238507244735956e-06
76,2,0.76,-1.568653033245937e-06
76,3,0.76,2.9756301955785602e-06
77,0,0.77,-1.4137704056338407e-06
77,1,0.77,4.398735654831398e-06
77,2,0.77,-2.0156760456302436e-06
77,3,0.77,3.155156036882545e-06
78,0,0.78,-1.0206268825641018e-06
78,1,0.78,4.521119990386069e-06
78,2,0.78,-1.6954160173554556e-06
78,3,0.78,2.7117375793750398e-06
79,0,0.79,-1.3493768165062647e-06
79,1,0.79,4.851602170674596e-06
79,2,0.79,-2.108904027409153e-06
79,3,0.79,2.7747873900807463e-06
80,0,0.8,-1.1448728400864638e-06
80,1,0.8,4.816054570255801e-06
80,2,0.8,-2.4169683001673548e-06
80,3,0.8,2.634821385072428e-06
81,0,0.81,-1.1333142992953071e-06
81,1,0.81,5.301990768202813e-06
81,2,0.81,-2.2959195575822378e-06
81,3,0.81,2.5189056032104418e-06
82,0,0.82,-9.323920835413446e-07
82,1,0.82,5.558099019253859e-06
82,2,0.82,-2.2275589799392037e-06
82,3,0.82,2.4528319499950157e-06
83,0,0.83,-1.268145979338442e-06
83,1,0.83,5.6666863201826345e-06
83,2,0.83,-2.278162583024823e-06
83,3,0.83,2.750110297711217e-06
84,0,0.84,-8.858556839186349e-07
84,1,0.84,5.374385182221886e-06
84,2,0.84,-1.7898878468258772e-06
84,3,0.84,2.8200497581565287e-06
85,0,0.85,-1.3215662875154521e-06
85,1,0.85,5.145489012647886e-06
85,2,0.85,-1.508340801592567e-06
85,3,0.85,2.630897597555304e-06
86,0,0.86,-1.1839047147077508e-06
86,1,0.86,5.380206403060583e-06
86,2,0.86,-1.042379267346405e-06
86,3,0.86,2.4160206066881074e-06
87,0,0.87,-7.012189939814562e-07
87,1,0.87,4.999722477805335e-06
87,2,0.87,-1.1456182846814045e-06
87,3,0.87,2.60376873484347e-06
88,0,0.88,-3.396255294774164e-07
88,1,0.88,5.2359423534653615e-06
88,2,0.88,-1.5539948208243004e-06
88,3,0.88,2.2207761958270567e-06
89,0,0.89,-2.3170238705461088e-07
89,1,0.89,5.287469321046956e-06
89,2,0.89,-1.8796066569848335e-06
89,3,0.89,1.7303079857811099e-06
90,0,0.9,-6.430374810406647e-07
90,1,0.9,5.2207064982212614e-06
90,2,0.9,-2.1247919903544243e-06
90,3,0.9,1.799528149604157e-06
91,0,0.91,-4.986205794921261e-07
91,1,0.91,4.989076387573732e-06
91,2,0.91,-2.0699394553957973e-06
91,3,0.91,1.3807602954329923e-06
92,0,0.92,-4.352764619852678e-07
92,1,0.92,4.845585863222368e-06
92,2,0.92,-2.3981065169209614e-06
92,3,0.92,1.4064803508517798e-06
93,0,0.93,-5.695470122191182e-07
93,1,0.93,5.22361960975104e-06
93,2,0.93,-2.8270821985643124e-06
93,3,0.93,1.689601731413859e-06
94,0,0.94,-2.4732057113396877e-07
94,1,0.94,5.714255621569464e-06
94,2,0.94,-2.6936884296446806e-06
94,3,0.94,1.9658036762848496e-06
95,0,0.95,2.083981769374077e-07
95,1,0.95,6.171107543195831e-06
95,2,0.95,-2.417120185782551e-06
95,3,0.95,1.8410970596960397e-06
96,0,0.96,-1.1410455158511468e-07
96,1,0.96,6.126086191216018e-06
96,2,0.96,-2.473730773999705e-06
96,3,0.96,1.927091034303885e-06
97,0,0.97,-5.876656814507442e-07
97,1,0.97,6.27758345217444e-06
97,2,0.97,-2.436523118376499e-06
97,3,0.97,2.118684733432019e-06
98,0,0.98,-9.71454028331209e-07
98,1,0.98,5.883080575586064e-06
98,2,0.98,-2.7643973226076923e-06
98,3,0.98,2.430126187391579e-06
99,0,0.99,-5.797983249067329e-07
99,1,0.99,5.454535767057678e-06
99,2,0.99,-2.6409636575408513e-06
99,3,0.99,2.035124680332956e-06
100,0,1.0,-2.992701411130838e-07
100,1,1.0,5.449860964290565e-06
100,2,1.0,-2.453041361150099e-06
100,3,1.0,2.4621431293780915e-06
101,0,1.01,-1.970571759102313e-07
101,1,1.01,5.0305093282077e-06
101,2,1.01,-2.8535939691209933e-06
101,3,1.01,2.192809233747539e-06
102,0,1.02,-5.485426868290233e-08
102,1,1.02,5.020379376219353e-06
102,2,1.02,-2.353645413677441e-06
102,3,1.02,1.780014486030268e-06
103,0,1.03,-4.3770370439233375e-08
103,1,1.03,4.83159237774089e-06
103,2,1.03,-2.141448703696369e-06
103,3,1.03,1.3023502560827183e-06
104,0,1.04,-2.1671067429451796e-07
104,1,1.04,4.841080226469785e-06
104,2,1.04,-2.436459908494726e-06
104,3,1.04,1.5927921594993677e-06
105,0,1.05,-5.156823021934542e-07
105,1,1.05,4.349819391791243e-06
105,2,1.05,-1.9504789179336512e-06
105,3,1.05,1.2564414646476507e-06
106,0,1.06,-3.52052552443638e-07
106,1,1.06,4.164204256085213e-06
106,2,1.06,-1.715957409942348e-06
106,3,1.06,1.4428227359530865e-06
107,0,1.07,-3.6747448461937893e-07
107,1,1.07,4.092744802619563e-06
107,2,1.07,-1.467339302507753e-06
107,3,1.07,1.065121637111588e-06
108,0,1.08,1.3061881531939434e-07
108,1,1.08,4.001059096481185e-06
108,2,1.08,-1.4124840390650206e-06
108,3,1.08,7.348739927692804e-07
109,0,1.09,2.914774483997462e-07
109,1,1.09,4.3834024836542085e-06
109,2,1.09,-1.4339642575578182e-06
109,3,1.09,4.137775988510839e-07
110,0,1.1,1.6674107428116258e-08
110,1,1.1,4.809216989087872e-06
110,2,1.1,-1.6199185211007716e-06
110,3,1.1,5.239587608230067e-07
111,0,1.11,-2.3708409457867674e-07
111,1,1.11,4.884959707851522e-06
111,2,1.11,-1.2132043138990412e-06
111,3,1.11,5.877740250070929e-07
112,0,1.12,-1.725764917637207e-07
112,1,1.12,5.002862508263206e-06
112,2,1.12,-1.1073708492403966e-06
112,3,1.12,8.165881695276767e-07
113,0,1.13,-4.295311555324588e-07
113,1,1.13,4.8505344238947146e-06
113,2,1.13,-7.916056574686081e-07
113,3,1.13,1.1077817134719226e-06
114,0,1.14,-7.557592311968619e-07
114,1,1.14,4.40317398897605e-06
114,2,1.14,-6.564117143170733e-07
114,3,1.14,1.4669457186755608e-06
115,0,1.15,-2.7640930966299493e-07
115,1,1.15,4.861042270931648e-06
115,2,1.15,-8.295465931951185e-07
115,3,1.15,1.4637511185355834e-06
116,0,1.16,-2.531920983983582e-07
116,1,1.16,4.579794676828897e-06
116,2,1.16,-5.240124778538302e-07
116,3,1.16,1.5842206266825087e-06
117,0,1.17,-1.2739364763092453e-07
117,1,1.17,4.323548637330532e-06
117,2,1.17,-3.462104132267996e-07
117,3,1.17,1.1069523679907434e-06
118,0,1.18,-3.3299707524747646e-07
118,1,1.18,4.2006877265521325e-06
118,2,1.18,-3.385781610631966e-07
118,3,1.18,1.1168953051310382e-06
119,0,1.19,-6.691170710837469e-07
119,1,1.19,4.656786586565431e-06
119,2,1.19,4.8612463388053584e-08
119,3,1.19,1.1423165915402933e-06
120,0,1.2,-5.441510211312561e-07
120,1,1.2,4.737738436233485e-06
120,2,1.2,1.0691098850656999e-07
120,3,1.2,7.988589914020849e-07
121,0,1.21,-7.488147844014748e-07
121,1,1.21,5.217410944169387e-06
121,2,1.21,-3.468380498361512e-07
121,3,1.21,4.841600684812875e-07
122,0,1.22,-8.500571198055695e-07
122,1,1.22,5.047332706453744e-06
122,2,1.22,-4.984240149497055e-07
122,3,1.22,2.3904419776954455e-07
123,0,1.23,-5.165341008250834e-07
123,1,1.23,4.962258117302554e-06
123,2,1.23,-6.532494012390089e-07
123,3,1.23,4.429381590398407e-07
124,0,1.24,-9.405982837051852e-07
124,1,1.24,5.248782144917641e-06
124,2,1.24,-2.6884342219091195e-07
124,3,1.24,2.0160075564490398e-07
125,0,1.25,-9.529519502393669e-07
125,1,1.25,4.811223789147334e-06
