step,env_id,time_s,wrench_magnitude
57,2,0.5700000000000001,0.7110708951950073
57,3,0.5700000000000001,1.384751558303833
58,0,0.58,0.7712516188621521
58,1,0.58,2.124098777770996
58,2,0.58,0.6528894901275635
58,3,0.58,1.2362360954284668
59,0,0.59,0.8667747378349304
59,1,0.59,1.7954518795013428
59,2,0.59,0.6262356042861938
59,3,0.59,1.2858649492263794
60,0,0.6,0.778741180896759
60,1,0.6,1.6915385723114014
60,2,0.6,0.6901529431343079
60,3,0.6,1.2578476667404175
61,0,0.61,0.8851171731948853
61,1,0.61,1.5655516386032104
61,2,0.61,0.7589733600616455
61,3,0.61,1.3635917901992798
62,0,0.62,0.5942491888999939
62,1,0.62,1.096833348274231
62,2,0.62,0.7773258090019226
62,3,0.62,1.132805347442627
63,0,0.63,0.5055493712425232
63,1,0.63,1.118574619293213
63,2,0.63,1.0216853618621826
63,3,0.63,1.0536020994186401
64,0,0.64,0.6983210444450378
64,1,0.64,1.2465994358062744
64,2,0.64,0.9781327247619629
64,3,0.64,1.1884920597076416
65,0,0.65,0.8091042041778564
65,1,0.65,0.9740481376647949
65,2,0.65,1.0752683877944946
65,3,0.65,1.2062581777572632
66,0,0.66,1.1524951457977295
66,1,0.66,0.7270719408988953
66,2,0.66,1.2119507789611816
66,3,0.66,1.1459912061691284
67,0,0.67,1.12472665309906
67,1,0.67,0.6135808825492859
67,2,0.67,1.2468193769454956
67,3,0.67,1.4048805236816406
68,0,0.68,0.9849388599395752
68,1,0.68,0.8056873679161072
68,2,0.68,1.323613166809082
68,3,0.68,1.5955277681350708
69,0,0.6900000000000001,0.83199143409729
69,1,0.6900000000000001,0.7205812335014343
69,2,0.6900000000000001,1.4019200801849365
69,3,0.6900000000000001,1.7252904176712036
70,0,0.7000000000000001,0.9147021174430847
70,1,0.7000000000000001,0.6750085353851318
70,2,0.7000000000000001,1.3645681142807007
70,3,0.7000000000000001,1.8865573406219482
71,0,0.71,0.6593950986862183
71,1,0.71,0.7934331297874451
71,2,0.71,1.6125973463058472
71,3,0.71,1.9161510467529297
72,0,0.72,0.7383118271827698
72,1,0.72,0.8891333341598511
72,2,0.72,1.9038186073303223
72,3,0.72,1.9746556282043457
73,0,0.73,0.5011040568351746
73,1,0.73,0.9270445704460144
73,2,0.73,1.942992091178894
73,3,0.73,1.787580966949463
74,0,0.74,0.3664229214191437
74,1,0.74,0.5857009887695312
74,2,0.74,1.8978877067565918
74,3,0.74,1.8714932203292847
75,0,0.75,0.7162405252456665
75,1,0.75,0.49827513098716736
75,2,0.75,2.0120456218719482
75,3,0.75,1.8986518383026123
76,0,0.76,0.8377168774604797
76,1,0.76,0.6253939270973206
76,2,0.76,2.142732620239258
76,3,0.76,1.9240262508392334
77,0,0.77,0.8427467942237854
77,1,0.77,0.6336416006088257
77,2,0.77,2.4273219108581543
77,3,0.77,1.9035921096801758
78,0,0.78,0.9438804388046265
78,1,0.78,0.6984989047050476
78,2,0.78,2.1709721088409424
78,3,0.78,2.214987277984619
79,0,0.79,0.7910944223403931
79,1,0.79,0.6443695425987244
79,2,0.79,1.9642037153244019
79,3,0.79,2.0307023525238037
80,0,0.8,0.8585671782493591
80,1,0.8,0.7810918092727661
80,2,0.8,1.8643629550933838
80,3,0.8,1.926485300064087
81,0,0.81,0.9068492650985718
81,1,0.81,0.8201345801353455
81,2,0.81,1.7487733364105225
81,3,0.81,1.8187077045440674
82,0,0.8200000000000001,0.900822103023529
82,1,0.8200000000000001,0.693594753742218
82,2,0.8200000000000001,2.038832902908325
82,3,0.8200000000000001,2.0712084770202637
83,0,0.8300000000000001,0.7654820680618286
83,1,0.8300000000000001,0.73163241147995
83,2,0.8300000000000001,2.0542314052581787
83,3,0.8300000000000001,2.202113389968872
84,0,0.84,0.7626962661743164
84,1,0.84,0.6745559573173523
84,2,0.84,1.9916925430297852
84,3,0.84,2.055389404296875
85,0,0.85,0.6199159622192383
85,1,0.85,0.830226480960846
85,2,0.85,1.886786699295044
85,3,0.85,2.046126365661621
86,0,0.86,0.5930265784263611
86,1,0.86,0.6413736343383789
86,2,0.86,1.807315468788147
86,3,0.86,2.050023078918457
87,0,0.87,0.7071653008460999
87,1,0.87,0.7784854173660278
87,2,0.87,1.740460991859436
87,3,0.87,2.383448600769043
88,0,0.88,0.8375070691108704
88,1,0.88,0.7712976932525635
88,2,0.88,1.4777928590774536
88,3,0.88,2.4625141620635986
89,0,0.89,0.6718578338623047
89,1,0.89,0.8659873604774475
89,2,0.89,1.1675441265106201
89,3,0.89,2.242377996444702
90,0,0.9,0.9734734892845154
90,1,0.9,0.9108995199203491
90,2,0.9,1.4194118976593018
90,3,0.9,1.9296914339065552
91,0,0.91,0.8423452973365784
91,1,0.91,0.7261263728141785
91,2,0.91,1.202127456665039
91,3,0.91,1.7544280290603638
92,0,0.92,0.7701510787010193
92,1,0.92,0.8105661869049072
92,2,0.92,1.3586061000823975
92,3,0.92,1.8754502534866333
93,0,0.93,0.6129859089851379
93,1,0.93,0.8670020699501038
93,2,0.93,1.451782464981079
93,3,0.93,1.940040111541748
94,0,0.9400000000000001,0.3205207586288452
94,1,0.9400000000000001,1.0544542074203491
94,2,0.9400000000000001,1.4510102272033691
94,3,0.9400000000000001,1.5704677104949951
95,0,0.9500000000000001,0.4635305404663086
95,1,0.9500000000000001,1.0802568197250366
95,2,0.9500000000000001,1.3685967922210693
95,3,0.9500000000000001,1.5002171993255615
96,0,0.96,0.5440988540649414
96,1,0.96,1.1948257684707642
96,2,0.96,1.272094964981079
96,3,0.96,1.3102089166641235
97,0,0.97,0.6688242554664612
97,1,0.97,1.23235285282135
97,2,0.97,1.0781220197677612
97,3,0.97,1.0867154598236084
98,0,0.98,0.6185513734817505
98,1,0.98,1.1279375553131104
98,2,0.98,1.1075469255447388
98,3,0.98,1.2327114343643188
99,0,0.99,0.7448894381523132
99,1,0.99,0.8361295461654663
99,2,0.99,0.7191131114959717
99,3,0.99,1.444374918937683
100,0,1.0,0.8168560862541199
100,1,1.0,1.0271133184432983
100,2,1.0,0.6531923413276672
100,3,1.0,1.4175070524215698
101,0,1.01,0.8669668436050415
101,1,1.01,0.6970037221908569
101,2,1.01,0.53053879737854
101,3,1.01,1.4389655590057373
102,0,1.02,0.8879137635231018
102,1,1.02,0.5758904218673706
102,2,1.02,0.5210700631141663
102,3,1.02,1.572749376296997
103,0,1.03,0.9311642646789551
103,1,1.03,0.3934331238269806
103,2,1.03,0.37840554118156433
103,3,1.03,1.4055367708206177
104,0,1.04,0.933584451675415
104,1,1.04,0.44525283575057983
104,2,1.04,0.5962569117546082
104,3,1.04,1.5323238372802734
105,0,1.05,0.9613843560218811
105,1,1.05,0.40504029393196106
105,2,1.05,0.7512376308441162
105,3,1.05,1.6508532762527466
106,0,1.06,0.7768038511276245
106,1,1.06,0.5581963658332825
106,2,1.06,0.7951420545578003
106,3,1.06,1.4678510427474976
107,0,1.07,0.7097394466400146
107,1,1.07,0.7551829814910889
107,2,1.07,0.627556562423706
